,index,0;1;2;3;4;Answer,Words
33,In fibrous proteins, polypeptide chains are held together;(a) van der waals forces;(b) electrostatic forces of attraction;(c) hydrogen bonds;(d) covalent bonds;(c) hydrogen bonds,level
34,Which type of interactions are responsible for making the a-helix structure stable?;(a) Peptide bonds between -NH2 and -CO groups of adjacent carbon chain;(b) Hydrogen bonds between -NH of amino acid in the one turn with -CO of amino acid to adjacent turn;(c) -OH group of one amino acid with -CO group of other amino acid on the turn;(d) Hydrogen bonds between adjacent amino acids;(b) Hydrogen bonds between -NH of amino acid in the one turn with -CO of amino acid to adjacent turn,,gluconic
35,Secondary structure of protein refers to;(a) sequence of amino acids in polypeptide chain;(b) bonds between alternate polypeptide chains;(c) folding patterns of polypeptide chain;(d) bonding between NH\(_{3}^{+}\) and COO– of two peptides;(c) folding patterns of polypeptide chain,,held
36,Which compound can exist in a dipolar (zwitter ion) structure?;(a) C6H5CH2CH (N = CH2) COOH;(b) (CH3)2CHCH (NH2) COOH;(c) C6H5CONHCH2COOH;(d) HOOCCH2CH2COCOOH;(b) (CH3)2CHCH (NH2) COOH,,valeric
37,Which of the following is an acidic amino acid?;(a) Glycine;(b) Valine;(c) Leucine;(d) Glutamic acid;(d) Glutamic acid,,furanose
38,The melting points of amino acids are higher than the corresponding hal-acids because;(a) amino acids exist as zwitter ions resulting in strong dipole-dipole attraction;(b) amino acids are optically active;(c) due to higher molecular mass of-NH2 group molecular mass of amino acids is higher;(d) they interact with water more than halo-acids and have salt like structure;(a) amino acids exist as zwitter ions resulting in strong dipole-dipole attraction,,anhydride
39,Most common types of secondary structures of proteins are;(a) a-helix and P-helix structures;(b) a-helix and P-pleated sheet structures;(c) right and left hand twisted structures;(d) globular and fibrous structures;(b) a-helix and P-pleated sheet structures,,hydrogen
40,Mark the incorrect example;(a) Keratin and myosin-fibrous proteins;(b) Insulin and albumines-Globular proteins;(c) Glycylalanine-Djpeptide;(d) Enzymes and haemoglobin-Derived proteins;(d) Enzymes and haemoglobin-Derived proteins,,waals
41,,,bonds
42,,,glucose
43,,,chains
44,,,instantaneously
