,index,0,1,2,3,4,Answer,Words
77,,,,,,,,simultaneously
78,,,,,,,,four
79,,,,,,,,method
81,,,,,,,,rapidly
82,,,,,,,,half
83,,,,,,,,possible
87,,,,,,,,law
88,,,,,,,,halved
90,,,,,,,,kwh
91,,,,,,,,conductivity
92,,,,,,,,circuit
93,,,,,,,,sensitive
94,,,,,,,,kilowatt
95,,,,,,,,three
96,,,,,,,,minimum
97,,,,,,,,superconductor
98,,,,,,,,everyday
99,,,,,,,,nearly
100,,,,,,,,resistance
101,,,,,,,,thicker
102,,,,,,,,would
103,,,,,,,,difference
104,,,,,,,,wheatstone
105,,,,,,,,two
106,,,,,,,,taken
107,,,,,,,,consumed
108,,,,,,,,hen
109,,,,,,,,area
110,,,,,,,,usa
112,,,,,,,,identical
113,,,,,,,,joulecoulombs
114,,,,,,,,stretched
115,,,,,,,,equivalent
117,,,,,,,,constitute
118,,,,,,,,galvanometer
119,,,,,,,,certain
120,,,,,,,,curie
121,,,,,,,,acting
122,,,,,,,,coil
123,,,,,,,,called
124,,,,,,,,based
125,,,,,,,,supply
126,,,,,,,,time
127,,,,,,,,ire
128,,,,,,,,measure
129,,,,,,,,volume
130,,,,,,,,per
131,,,,,,,,equal
133,,,,,,,,volt
134,,,,,,,,experiment
135,,,,,,,,unchanged
136,,,,,,,,reach
137,,,,,,,,fordomestic
138,,,,,,,,following
139,,,,,,,,copper
140,,,,,,,,day
142,,,,,,,,point
143,,,,,,,,platinum
144,,,,,,,,measured
145,,,,,,,,accurately
146,,,,,,,,question
147,,,,,,,,connected
148,,,,,,,,electricity
149,,,,,,,,nonohmic
150,,,,,,,,battery
151,,,,,,,,device
152,,,,,,,,quadrupled
153,,,,,,,,cell
154,,,,,,,,pressure
156,,,,,,,,null
158,,,,,,,,voltmeter
159,,,,,,,,order
160,,,,,,,,lamp
161,,,,,,,,connecting
162,,,,,,,,conductor
163,,,,,,,,field
164,,,,,,,,kirchhoffs
165,,,,,,,,rod
166,,,,,,,,potential
167,,,,,,,,discovered
168,,,,,,,,compared
169,,,,,,,,hour
170,,,,,,,,made
171,,,,,,,,electric
172,,,,,,,,thermocouple
173,,,,,,,,energy
174,,,,,,,,form
175,,,,,,,,filament
177,,,,,,,,produced
179,,,,,,,,also
180,,,,,,,,bridge
182,,,,,,,,increase
183,,,,,,,,stand
184,,,,,,,,diode
185,,,,,,,,parallel
186,,,,,,,,line
187,,,,,,,,expressed
188,,,,,,,,network
189,,,,,,,,obtained
190,,,,,,,,part
191,,,,,,,,magnetic
192,,,,,,,,shunted
193,,,,,,,,india
194,,,,,,,,respectively
195,,,,,,,,value
196,,,,,,,,conservation
197,,,,,,,,cut
198,,,,,,,,example
199,,,,,,,,ohm
200,,,,,,,,onnes
201,,,,,,,,body
202,,,,,,,,crosssectional
203,,,,,,,,similar
204,,,,,,,,elasticity
205,,,,,,,,heat
206,,,,,,,,wire
207,,,,,,,,power
208,,,,,,,,ratio
209,,,,,,,,many
210,,,,,,,,generated
211,,,,,,,,car
212,,,,,,,,material
213,,,,,,,,measuring
214,,,,,,,,involve
215,,,,,,,,crosssection
216,,,,,,,,coefficient
217,,,,,,,,voltage
218,,,,,,,,corner
220,,,,,,,,isi
221,,,,,,,,superconductivity
222,,,,,,,,number
223,,,,,,,,emf
224,,,,,,,,given
225,,,,,,,,tjie
226,,,,,,,,different
227,,,,,,,,draw
228,,,,,,,,thinner
229,,,,,,,,lament
230,,,,,,,,none
231,,,,,,,,constant
232,,,,,,,,edison
233,,,,,,,,change
234,,,,,,,,consumes
235,,,,,,,,higher
236,,,,,,,,thomson
237,,,,,,,,seebeck
238,,,,,,,,first
239,,,,,,,,external
241,,,,,,,,thin
242,,,,,,,,heavy
243,,,,,,,,series
244,,,,,,,,low
247,,,,,,,,triangle
248,,,,,,,,rating
249,,,,,,,,combination
250,,,,,,,,consequence
251,,,,,,,,source
252,,,,,,,,nichrome
254,,,,,,,,decrease
256,,,,,,,,depends
257,,,,,,,,shaped
258,,,,,,,,ali
259,,,,,,,,arm
260,,,,,,,,accurate
