,index,0,1,2,3,4,Answer,Words
12,12.0,Name the man who was first to place his foot on the moon and in which year:,"(a) Neil Armstrong, 1969","(b) James Van A lien, 1971","(c) Leonov, 1965",(d) None of these,"(a) Neil Armstrong, 1969",faithful
13,13.0,A microphone converts:,(a) sound signals into electrical signals,(b) electrical signals into sound signals,(c) both (a) and (b),(d) Neither (a) nor (b),(a) sound signals into electrical signals,lien
14,14.0,A loudspeaker converts:,(a) electrical signals into sound signals,(b) sound signals into electrical signals,(c) both (a) and (b),(d) neither (a) nor (b),(a) electrical signals into sound signals,james
15,15.0,The sound produced by a tuning fork is a sort of:,(a) analog signal,(b) digital signal,(c) both (a) and (b),(d) neither (a) nor (b),(a) analog signal,consists
16,16.0,The length of a half wave dipole at 30 mega-hertz is:,(a) 5 m,(b) 10 m,(c) 25 m,(d) 80 m,(a) 5 m,audio
17,17.0,"In space communication, the sound waves can be sent from one place to another:",(a) through space,(b) through wires,(c) by superimposing it on undamped electro-magnetic waves,(d) by superimposing it on damped electro-magnetic waves,(c) by superimposing it on undamped electro-magnetic waves,used
18,18.0,The output of a digital computer is an example of:,(a) digital signal,(b) analog signal,(c) both (a) and (b) above,(d) neither (a) nor (b),(a) digital signal,van
19,19.0,Which is more advantageous?,(a) analog data communication,(b) digital data communication,(c) both (a) and (b) are equally good,(d) depends on the situation,(b) digital data communication,damped
20,20.0,Communication channel consists of:,(a) transmission line only,(b) optical fibre only,(c) free space only,(d) All of the above,(d) All of the above,use
21,21.0,AM is used for broadcasting because:,(a) it is more noise immune than other modulation system,(b) it requires less transmitting power compare with other systems,(c) its use avoids receiver complexity,(d) No other modulation system can provide the necessary bandwidth faithful transmission,(c) its use avoids receiver complexity,one
22,22.0,Digital signals:,(a) represents values as discrete steps,(b) Do not represents values as discrete steps,(c) represent values steps,(d) represent random steps,(a) represents values as discrete steps,sound
23,23.0,Digital signals:,(a) deal with all sort of values,(b) can use decimal system,(c) can use binary system,(d) (b) and (c) both,(d) (b) and (c) both,represents
24,24.0,Increase in frequency deviation results into:,(a) increase in noise of FM receiver,(b) decrease in noise of AM receiver,(c) increase in noise of Am receiver,(d) decrease in noise of FM receiver,(b) decrease in noise of AM receiver,amplifier
25,,,,,,,,uhf
26,,,,,,,,electrical
27,,,,,,,,digital
28,,,,,,,,walk
29,,,,,,,,computer
30,,,,,,,,affected
31,,,,,,,,immune
32,,,,,,,,broadcasting
33,,,,,,,,transformer
34,,,,,,,,frequency
36,,,,,,,,decimal
37,,,,,,,,condition
38,,,,,,,,compare
39,,,,,,,,term
40,,,,,,,,convert
41,,,,,,,,equally
42,,,,,,,,avoids
44,,,,,,,,atmospheric
45,,,,,,,,decrease
46,,,,,,,,bandwidth
47,,,,,,,,half
48,,,,,,,,noise
49,,,,,,,,vhf
50,,,,,,,,provide
52,,,,,,,,system
53,,,,,,,,capacitive
54,,,,,,,,collect
55,,,,,,,,deal
56,,,,,,,,wave
57,,,,,,,,area
58,,,,,,,,situation
59,,,,,,,,rakesh
60,,,,,,,,electromagnetic
61,,,,,,,,armstrong
62,,,,,,,,place
63,,,,,,,,analog
64,,,,,,,,called
65,,,,,,,,space
66,,,,,,,,height
67,,,,,,,,transmission
68,,,,,,,,inductive
69,,,,,,,,discrete
70,,,,,,,,random
71,,,,,,,,directional
72,,,,,,,,sort
73,,,,,,,,step
74,,,,,,,,physical
75,,,,,,,,dipole
76,,,,,,,,represent
77,,,,,,,,foot
78,,,,,,,,following
79,,,,,,,,channel
80,,,,,,,,communication
81,,,,,,,,deviation
82,,,,,,,,man
84,,,,,,,,receiver
85,,,,,,,,leonov
86,,,,,,,,sensing
87,,,,,,,,optical
88,,,,,,,,antenna
89,,,,,,,,wavelength
90,,,,,,,,vertical
91,,,,,,,,undamped
92,,,,,,,,loudspeaker
93,,,,,,,,always
94,,,,,,,,neil
95,,,,,,,,moon
96,,,,,,,,contact
97,,,,,,,,produced
98,,,,,,,,increase
99,,,,,,,,range
101,,,,,,,,object
102,,,,,,,,microphone
103,,,,,,,,advantageous
104,,,,,,,,line
105,,,,,,,,result
106,,,,,,,,resistive
107,,,,,,,,value
108,,,,,,,,another
109,,,,,,,,output
110,,,,,,,,signal
111,,,,,,,,example
112,,,,,,,,undertook
113,,,,,,,,transmitting
114,,,,,,,,huf
115,,,,,,,,served
116,,,,,,,,wire
117,,,,,,,,power
118,,,,,,,,megahertz
119,,,,,,,,sharma
120,,,,,,,,sent
121,,,,,,,,superimposing
122,,,,,,,,binary
123,,,,,,,,transducer
124,,,,,,,,information
125,,,,,,,,none
126,,,,,,,,modulation
127,,,,,,,,good
128,,,,,,,,type
129,,,,,,,,first
130,,,,,,,,khz
131,,,,,,,,index
132,,,,,,,,remote
133,,,,,,,,amplitude
134,,,,,,,,generally
135,,,,,,,,fibre
136,,,,,,,,seriously
137,,,,,,,,year
139,,,,,,,,complexity
140,,,,,,,,necessary
141,,,,,,,,tuning
142,,,,,,,,depends
