,index,0,1,2,3,4,Answer,Words
118,,,,,,,,line
119,,,,,,,,part
121,,,,,,,,result
122,,,,,,,,magnetic
123,,,,,,,,resistive
124,,,,,,,,value
125,,,,,,,,harmonic
126,,,,,,,,plugged
127,,,,,,,,stone
128,,,,,,,,ratio
129,,,,,,,,fourth
130,,,,,,,,coefficient
131,,,,,,,,percentage
133,,,,,,,,number
134,,,,,,,,spring
135,,,,,,,,given
136,,,,,,,,none
137,,,,,,,,sec
138,,,,,,,,emains
139,,,,,,,,clock
140,,,,,,,,higher
141,,,,,,,,first
142,,,,,,,,external
143,,,,,,,,thin
144,,,,,,,,amplitude
145,,,,,,,,towards
146,,,,,,,,due
147,,,,,,,,dropped
148,,,,,,,,decreasing
149,,,,,,,,straight
150,,,,,,,,hollow
151,,,,,,,,position
152,,,,,,,,diameter
153,,,,,,,,depends
154,,,,,,,,bored
155,,,,,,,,remain
156,,,,,,,,divided
157,,,,,,,,may
