,index,0;1;2;3;4;Answer,Words
12,12.0,A charge + q is sent through a magnetic field. The force acting on it is maximum w hen the angle between the direction of motion of the charged particle and the magnetic field :;(a) 0°;(b) 45°;(c) 90°;(d) 180°;(c) 90°,force
13,13.0,The magnetic field of a given length of a ware for single turn coil at its centre is B. Then.its value for two turns of coil will be :;(a) B/4;(b) B/2;(c) 4B;(d) 2B;(c) 4B,straight
14,14.0,To convert galvanometer into voltmeter one should connect :;(a) high resistance in series with galvanometer;(b) low resistance in series with galvanometer;(c) high resistance in parallel with galvanometer;(d) low resistance in parallel with galvanometer;(a) high resistance in series with galvanometer,\\frac{pm}{b}\
15,15.0,Isoclinic lines are the lines joining places with :;(a) equal dip;(b) equal declination;(cj equal dip and declination;(d) None of these;(a) equal dip,particle
16,16.0,The most suitable metal for making permanent magnets is :;(a) iron;(b) steel;(c) copper;(d) aluminium;(a) √2 p,small
17,17.0,The SI unit of magnetic dipole moment is’;(a) Ampere;(b) Ampere metre²;(c) Tesla;(d) None of these;(b) Ampere metre²,area
18,18.0,Earth’s magnetism was discovered by:;(a) Gauss;(b) Oersted;(c) Ampere;(d) Gilbert;(d) Gilbert,torque
19,19.0,Tesla is a unit of:;(a) electric flux;(b) magnetic flux;(c) magnetic field;(d) electric field;(c) magnetic field,plane
20,20.0,10 eV electron is circulating in a plane at right angle to a uniform field of magnetic induction 10-1 Wb/m² (1G). The orbital radius of electron is:;(a) 12 cm;(b) 16 cm;(c) 11 cm;(d) 18 cm;(c) 11 cm,produced
21,21.0,A cyclotron can be used to produce high energy:;(a) neutrons;(b) deutrons;(c) β particles;(d) α partifcles;(d) α partifcles,making
22,22.0,The radius of the trajectory of a charged particle in a uniform magnetic field is proportional to the:;(a) charge on the particle;(b) energy of the particle;(c) momentum of the particle;(d) all the above;(c) momentum of the particle,pmb
23,23.0,The torque acting on a magnetic dipole of moment \(\vec{p_m}\) when placed in a magnetic field \(\vec{B}\) is:;(a) pmB;(b) \(\vec{p_m}\) × \(\vec{B}\);(c) \(\vec{p_m}\)\(\vec{B}\);(d) \(\frac{p_m}{B}\);(b) \(\vec{p_m}\) × \(\vec{B}\),circulating
24,,,like
25,,,earth’s
26,,,moment
27,,,declination
28,,,isolated
29,,,\\frac{µl}{πl}\
30,,,unit
31,,,used
32,,,q\\vec{v}\\\vec{b}\
33,,,acting
34,,,inversely
35,,,meanings
36,,,charged
37,,,poles
38,,,sent
39,,,q\\vec{v}\×\\vec{b}\
40,,,null
41,,,double
42,,,sensitivity
43,,,length
44,,,value
45,,,quadrupled
46,,,shows
47,,,voltmeter
48,,,particles
49,,,suitable
50,,,strength
51,,,places
52,,,galvanometer
53,,,attraction
54,,,\\vec{pm}\
55,,,doubled
56,,,around
57,,,line
58,,,earth
59,,,tangent
60,,,current
61,,,magnetic
62,,,is’
63,,,cm
64,,,electron
65,,,negative
66,,,weber/metre²
67,,,increased
68,,,flux
69,,,dip
70,,,\\vec{b}\
71,,,unity
72,,,decrease
73,,,everywhere
74,,,low
75,,,south
76,,,\\frac{q}{}\\\vec{v}×\vec{b}\
77,,,west
78,,,partifcles
79,,,east
80,,,thin
81,,,none
82,,,angle
83,,,placed
84,,,unchanged
85,,,permeability
86,,,aluminium
87,,,oersted
88,,,radius
89,,,single
90,,,directly
91,,,centre
92,,,keeping
93,,,two
94,,,zero
95,,,trajectory
96,,,meter
97,,,bar
98,,,copper
99,,,electric
100,,,unlike
101,,,tesla
102,,,convert
103,,,charge
104,,,behaves
105,,,permanent
106,,,\\vec{f}\
107,,,energy
108,,,carry
109,,,ware
110,,,magnetism
111,,,steel
112,,,ing
113,,,coil
114,,,halved
115,,,right
116,,,motion
117,,,uniform
118,,,points
119,,,field
120,,,loop
121,,,\\frac{q}{\vec{v}\vec{b}}\
122,,,dipole
123,,,substance
124,,,wb/m²
125,,,induction
126,,,experienced
127,,,symbols
128,,,gilbert
129,,,north
130,,,external
131,,,declinationcj
132,,,produce
133,,,increasing
134,,,remains
135,,,equal
136,,,much
137,,,repulsion
138,,,increases
139,,,metal
140,,,ampere
141,,,point
142,,,neutrons
143,,,\\vec{pm}\\\vec{b}\
144,,,galanometer
145,,,existence
146,,,high
147,,,proportional
148,,,series
149,,,gauss
150,,,orbital
151,,,parallel
152,,,turn
153,,,maximum
154,,,circular
155,,,happens
156,,,discovered
157,,,magnets
158,,,large
159,,,power
160,,,cry
161,,,momentum
162,,,less
163,,,carries
164,,,deutrons
165,,,conductor
166,,,isoclinic
167,,,given
168,,,thenits
169,,,distance
170,,,paramagnetic
171,,,hen
172,,,cyclotron
173,,,carrying
174,,,long
175,,,direction
176,,,connect
177,,,joining
178,,,lines
179,,,metre²
