,index,0;1;2;3;4;Answer,Words
41,,,value
42,,,order
43,,,heavy
44,,,method
45,,,constitute
46,,,quadrupled
47,,,resistor
48,,,accurate
49,,,car
50,,,voltmeter
51,,,seebeck
52,,,times
53,,,new
54,,,galvanometer
55,,,bulb
56,,,doubled
57,,,possible
58,,,edison
59,,,current
60,,,magnetic
61,,,electrical
62,,,neither
63,,,volt
64,,,draws
65,,,heat
66,,,nonohmic
67,,,velocity
68,,,negative
69,,,diameter
70,,,nearly
71,,,fig
72,,,use
73,,,measuring
74,,,low
75,,,decrease
76,,,travels
77,,,known
78,,,thin
79,,,none
80,,,crosssectional
81,,,rapidly
82,,,phenomenon
83,,,mostly
84,,,unchanged
85,,,methods
86,,,superconductor
87,,,body
88,,,depends
89,,,measures
90,,,aluminium
91,,,difference
92,,,two
93,,,different
94,,,network
95,,,tungsten
96,,,thermo
97,,,nichrome
98,,,meter
99,,,copper
100,,,diode
101,,,electric
102,,,conductivity
103,,,circuits
104,,,resistivity
105,,,charge
106,,,kirchhoffs
107,,,pressure
108,,,india
109,,,expressed
110,,,superconductivity
111,,,joulecoulombs
112,,,constant
113,,,energy
114,,,consequences
115,,,hour
116,,,second
117,,,electrons
118,,,thermistor
119,,,laws
120,,,conductance
121,,,circuit
122,,,involve
123,,,\\frac{r}{}\
124,,,fuse
125,,,first
126,,,coil
127,,,halved
128,,,whose
129,,,usa
130,,,field
131,,,kj
132,,,speed
133,,,crosssection
134,,,joule/coulomb/metre
135,,,tjie
136,,,ohm
137,,,similar
138,,,valid
139,,,joules
140,,,varying
141,,,human
142,,,affected
143,,,potential
144,,,r/
145,,,resistances
146,,,nr
147,,,external
148,,,peitier
149,,,example
150,,,equal
151,,,much
152,,,ms
153,,,kω
154,,,fordomestic
155,,,law
156,,,increases
157,,,hours
158,,,electricity
159,,,coefficient
160,,,connected
161,,,accurately
162,,,four
163,,,m°c
164,,,potentiometer
165,,,high
166,,,conductors
167,,,kilowatt
168,,,combination
169,,,many
170,,,called
171,,,measured
172,,,series
173,,,°c
174,,,parallel
175,,,supplied
176,,,siemen
177,,,maximum
178,,,connecting
179,,,change
180,,,\\frac{r}{n}\
181,,,compared
182,,,device
183,,,discovered
184,,,is/i
185,,,volume
186,,,draw
187,,,upon
188,,,kwh
189,,,respectively
190,,,joule/coulomb
191,,,lamp
192,,,platinum
193,,,power
194,,,conservation
195,,,less
196,,,conductor
197,,,carbon
198,,,wheatstone
199,,,ohm’s
200,,,consumed
201,,,original
202,,,everyday
203,,,smallest
204,,,radii
205,,,across
206,,,faraday
207,,,half
208,,,elasticity
