,index,0,1,2,3,4,Answer,Words
10,10.0,How many of the know elements exist as gases at 25°C?,(a) 9,(b) 11,(c) 12,(d) 15,(b) 11,also
11,11.0,The states of matter having no definite shape but definite volume:,(a) Gas,(b) Liquid,(c) Solid,(d) None of the Above,"(b) Liquid
Explanation:
In a liquid, particles will flow or glide over one another, but stay toward the bottom of the container. The attractive forces between particles are strong enough to hold a specific volume but not strong enough to keep the molecules sliding over each other.",determined
12,12.0,The rise or fall of a liquid within a tube of small bore is called:,(a) Surface Tension,(b) Capillary Action,(c) Viscosity,(d) Formation of Curvature,"(b) Capillary Action
Explanation:
Capillarity, rise or depression of a liquid in a small passage such as a tube of small cross-sectional area, like the spaces between the fibres of a towel or the openings in a porous material. Capillarity is not limited to the vertical direction. Water is drawn into the fibres of a towel, no matter how the towel is oriented.",
13,13.0,"The theory which explains that gases consist of molecules, which are in rapid option is known as:",(a) Daltons Atomic Theory,(b) Bohrs Theory,(c) Rutherfords Atomic Theory,(d) Kinetic Molecular Theory,"(d) Kinetic Molecular Theory
Explanation:
The kinetic molecular theory (KMT) is a simple microscopic model that effectively explains the gas laws described in previous modules of this chapter. This theory is based on the following five postulates described here. (Note: The term “molecule” will be used to refer to the individual chemical species that compose the gas, although some gases are composed of atomic species, for example, the noble gases.)",published
14,14.0,Falling drop of water is spherical due to:,(a) Hydrogen Bonding,(b) Surface Tension,(c) Capillary Action,(d) Vlscosity,"(b) Surface Tension
Explanation:
Raindrops take up the spherical shape due to the surface tension of water which is caused due to the tendency of water molecules to stick together. The spherical shape is having the least possible surface area due to which it can resist any of the external force in the atmosphere.",kineticmolecular
15,15.0,The rates of diffusion of gases are inversely proportional to square root of their densities . This statement refers to :,(a) Daltons Law,(b) Grahams Law,(c) Avogadros Law,(d) None of the Above,"(b) Grahams Law
Explanation:
Grahams law states that the rate of diffusion of a gas is inversely proportional to the square root of its molecular weight. In the same conditions of temperature and pressure, the molar mass is proportional to the mass density. Therefore the rate of diffusion of different gases is inversely proportional to the square root of their mass densities.
r α (\(\sqrt{\frac {1}{d}}\))
and r α (\(\sqrt{\frac {1}{M}}\))",tube
16,16.0,"The law, which states that at constant temperature, the volume of a given mass of gas is inversely proportional is pressure, is known as:",(a) Boyles law,(b) Charles law,(c) Combine gas law,(d) Avogadros law,"(a) Boyles law
Explanation:
In 1662 Robert Boyle studied the relationship between volume and pressure of a gas of fixed amount at constant temperature. He observed that volume of a given mass of a gas is inversely proportional to its pressure at a constant temperature. Boyles law, published in 1662, states that, at constant temperature, the product of the pressure and volume of a given mass of an ideal gas in a closed system is always constant. It can be verified experimentally using a pressure gauge and a variable volume container. It can also be derived from the kinetic theory of gases: if a container, with a fixed number of molecules inside, is reduced in volume, more molecules will strike a given area of the sides of the container per unit time, causing a greater pressure.
A statement of Boyles law is as follows:
The volume of a given mass of a gas is inversely related to pressure when the temperature is constant.​
V ∝ (\(\frac {1}{P}\)) meaning “Volume is inversely proportional to Pressure”, or
P ∝ (\(\frac {1}{V}\)) meaning “Pressure is inversely proportional to Volume”, or
where P is the pressure, and V is the volume of a gas, and k1 is the constant in this equation.",closed
17,17.0,"If helium and methane are allowed to diffuse out of the container under the similar conditions of temperature and pressure, then the ratio of rate of diffusion of helium to methane is:",(a) 2 : 1,(b) 1 : 2,(c) 3 : 5,(d) 4 : 1,"(a) 2 : 1
Explanation:
According to Grahams law
(\(\frac {r_1}{r_2}\)) = (\(\sqrt{\frac {M_1}{M_2}}\))
(rHe/rCH4) = (\(\sqrt{\frac {16}{4}}\))
= (\(\frac {1}{2}\))",der
18,18.0,"When you heat a sample of gas, what happens to the particles that make up the gas?",(a) The particles move faster.,(b) The particles break apart,(c) The particles get smaller,(d) The particles become more dense,"(a) The particles move faster.
Explanation:
There is a great deal of empty space between particles, which have a lot of kinetic energy. The particles move very fast and collide into one another when the gas is heated up, causing them to diffuse, or spread out, until they are evenly distributed throughout the volume of the container.",attraction
19,,,,,,,,atm
20,,,,,,,,weight
21,,,,,,,,square
23,,,,,,,,amount
24,,,,,,,,neither
25,,,,,,,,confining
26,,,,,,,,none
27,,,,,,,,theorynexplanationnthe
28,,,,,,,,volumetemperature
29,,,,,,,,observed
30,,,,,,,,concept
31,,,,,,,,covalent
32,,,,,,,,therefore
33,,,,,,,,nexplanationnaccording
34,,,,,,,,fill
36,,,,,,,,called
37,,,,,,,,temperature
38,,,,,,,,effect
39,,,,,,,,occupied
40,,,,,,,,porous
42,,,,,,,,contained
43,,,,,,,,container
44,,,,,,,,rise
45,,,,,,,,nature
46,,,,,,,,ideal
47,,,,,,,,including
48,,,,,,,,waal
49,,,,,,,,explains
50,,,,,,,,side
51,,,,,,,,final
52,,,,,,,,mol
53,,,,,,,,curvature
54,,,,,,,,wrong
55,,,,,,,,specie
56,,,,,,,,example
57,,,,,,,,toward
58,,,,,,,,havenpv
59,,,,,,,,capillary
60,,,,,,,,empty
61,,,,,,,,greatest
62,,,,,,,,chapter
63,,,,,,,,due
64,,,,,,,,although
65,,,,,,,,deviate
66,,,,,,,,atomic
67,,,,,,,,consist
68,,,,,,,,intermolecular
69,,,,,,,,keep
70,,,,,,,,force
71,,,,,,,,cylinder
72,,,,,,,,composed
73,,,,,,,,twice
75,,,,,,,,liquid
76,,,,,,,,greater
77,,,,,,,,known
78,,,,,,,,make
79,,,,,,,,fall
80,,,,,,,,three
81,,,,,,,,deal
82,,,,,,,,unit
83,,,,,,,,previous
84,,,,,,,,condition
85,,,,,,,,state
86,,,,,,,,nrtnubpv
87,,,,,,,,great
88,,,,,,,,five
89,,,,,,,,definite
90,,,,,,,,alcohol
91,,,,,,,,compressible
92,,,,,,,,mass
93,,,,,,,,densitiesnr
94,,,,,,,,behaviour
95,,,,,,,,drawn
96,,,,,,,,energy
97,,,,,,,,rate
98,,,,,,,,high
99,,,,,,,,rtpngiven
100,,,,,,,,described
101,,,,,,,,different
102,,,,,,,,real
103,,,,,,,,lawnexplanationngrahams
104,,,,,,,,exert
105,,,,,,,,mmnrherch
106,,,,,,,,gauge
107,,,,,,,,atmnexplanationnvapour
108,,,,,,,,rutherfords
109,,,,,,,,meaning
110,,,,,,,,moles
111,,,,,,,,boyle
112,,,,,,,,happens
113,,,,,,,,throughout
114,,,,,,,,causing
115,,,,,,,,assumed
117,,,,,,,,viscosity
118,,,,,,,,arenw
119,,,,,,,,strong
120,,,,,,,,robert
121,,,,,,,,another
122,,,,,,,,uniformity
123,,,,,,,,attractive
124,,,,,,,,derived
125,,,,,,,,liquidnexplanationnin
126,,,,,,,,module
127,,,,,,,,effective
129,,,,,,,,experimentally
130,,,,,,,,tension
131,,,,,,,,hold
133,,,,,,,,smaller
134,,,,,,,,fasternexplanationnthere
135,,,,,,,,product
136,,,,,,,,relationship
137,,,,,,,,respectively
138,,,,,,,,given
139,,,,,,,,simplest
140,,,,,,,,pressurena
141,,,,,,,,completely
142,,,,,,,,molar
144,,,,,,,,term
145,,,,,,,,bohrs
146,,,,,,,,atmosphere
147,,,,,,,,law
148,,,,,,,,ratio
149,,,,,,,,similar
150,,,,,,,,bottom
151,,,,,,,,space
152,,,,,,,,take
153,,,,,,,,crosssectional
154,,,,,,,,equation
155,,,,,,,,allowed
156,,,,,,,,hydrogen
157,,,,,,,,maintain
158,,,,,,,,passage
159,,,,,,,,flow
160,,,,,,,,diffusion
161,,,,,,,,matter
162,,,,,,,,molecule
163,,,,,,,,highest
164,,,,,,,,constantubnv
165,,,,,,,,small
167,,,,,,,,move
168,,,,,,,,fixed
169,,,,,,,,towel
170,,,,,,,,caused
171,,,,,,,,heated
173,,,,,,,,moleculesnexplanationnin
174,,,,,,,,strike
175,,,,,,,,characterized
176,,,,,,,,many
177,,,,,,,,spread
178,,,,,,,,size
179,,,,,,,,behavior
180,,,,,,,,show
181,,,,,,,,proportional
182,,,,,,,,frac
183,,,,,,,,indicates
184,,,,,,,,within
185,,,,,,,,gnm
186,,,,,,,,time
187,,,,,,,,water
188,,,,,,,,element
189,,,,,,,,rtnubv
190,,,,,,,,refers
191,,,,,,,,exist
192,,,,,,,,depend
193,,,,,,,,like
194,,,,,,,,bound
195,,,,,,,,doubled
196,,,,,,,,thus
197,,,,,,,,bond
198,,,,,,,,limited
199,,,,,,,,inversely
200,,,,,,,,effectively
201,,,,,,,,knp
202,,,,,,,,rapid
203,,,,,,,,together
204,,,,,,,,bore
205,,,,,,,,containednexplanationnmass
206,,,,,,,,pressurenexplanationnthe
207,,,,,,,,placed
208,,,,,,,,repulsion
209,,,,,,,,sample
210,,,,,,,,stick
211,,,,,,,,verified
212,,,,,,,,faster
213,,,,,,,,gaseous
214,,,,,,,,know
215,,,,,,,,solid
216,,,,,,,,information
217,,,,,,,,tensionnexplanationnraindrops
218,,,,,,,,units
219,,,,,,,,enclosed
220,,,,,,,,surface
221,,,,,,,,density
222,,,,,,,,ornp
223,,,,,,,,note
224,,,,,,,,charles
225,,,,,,,,attract
226,,,,,,,,lnexplanationnaccording
228,,,,,,,,waals
229,,,,,,,,possible
230,,,,,,,,boyles
231,,,,,,,,cannot
232,,,,,,,,finite
233,,,,,,,,reduced
234,,,,,,,,give
235,,,,,,,,magnitude
236,,,,,,,,atmnr
237,,,,,,,,present
238,,,,,,,,postulate
239,,,,,,,,microscopic
240,,,,,,,,weighing
241,,,,,,,,lawnfrac
242,,,,,,,,individual
243,,,,,,,,depression
244,,,,,,,,root
245,,,,,,,,dnand
246,,,,,,,,one
247,,,,,,,,nexplanationnat
248,,,,,,,,van
249,,,,,,,,volume
251,,,,,,,,dense
252,,,,,,,,refer
253,,,,,,,,irrespective
255,,,,,,,,spherical
256,,,,,,,,uniform
257,,,,,,,,pvn
258,,,,,,,,universal
259,,,,,,,,gases
260,,,,,,,,number
261,,,,,,,,glide
262,,,,,,,,byngases
263,,,,,,,,drop
264,,,,,,,,pressure
265,,,,,,,,anothernexplanationnthe
268,,,,,,,,chemical
269,,,,,,,,atmn
270,,,,,,,,occupy
271,,,,,,,,fibre
272,,,,,,,,system
273,,,,,,,,depends
274,,,,,,,,variable
275,,,,,,,,kmt
276,,,,,,,,vertical
277,,,,,,,,specific
278,,,,,,,,option
279,,,,,,,,used
280,,,,,,,,monoxide
281,,,,,,,,studied
282,,,,,,,,vlscosity
283,,,,,,,,vapour
284,,,,,,,,molnt
285,,,,,,,,become
286,,,,,,,,expanded
287,,,,,,,,area
288,,,,,,,,least
289,,,,,,,,value
290,,,,,,,,confined
292,,,,,,,,combine
293,,,,,,,,actionnexplanationncapillarity
294,,,,,,,,enough
295,,,,,,,,however
296,,,,,,,,simple
297,,,,,,,,collision
298,,,,,,,,model
299,,,,,,,,bonding
300,,,,,,,,ornwhere
301,,,,,,,,compose
302,,,,,,,,sliding
303,,,,,,,,carbon
304,,,,,,,,resist
305,,,,,,,,daltons
306,,,,,,,,action
307,,,,,,,,material
308,,,,,,,,evenly
309,,,,,,,,statement
310,,,,,,,,followsnthe
311,,,,,,,,based
312,,,,,,,,shape
313,,,,,,,,diffuse
314,,,,,,,,fast
315,,,,,,,,gasnexplanationnof
316,,,,,,,,measure
317,,,,,,,,constant
318,,,,,,,,wall
319,,,,,,,,opening
320,,,,,,,,external
321,,,,,,,,heat
322,,,,,,,,larger
323,,,,,,,,lot
324,,,,,,,,dnexplanationnvc
325,,,,,,,,higher
326,,,,,,,,tendency
327,,,,,,,,distributed
329,,,,,,,,noble
330,,,,,,,,using
331,,,,,,,,related
332,,,,,,,,grahams
333,,,,,,,,knputting
334,,,,,,,,petrol
335,,,,,,,,methane
336,,,,,,,,pair
337,,,,,,,,sqrtfrac
338,,,,,,,,equal
339,,,,,,,,formula
340,,,,,,,,direction
341,,,,,,,,lawnexplanationnin
342,,,,,,,,stay
343,,,,,,,,apart
344,,,,,,,,get
345,,,,,,,,particle
346,,,,,,,,helium
347,,,,,,,,almost
348,,,,,,,,formation
349,,,,,,,,avogadros
350,,,,,,,,basic
351,,,,,,,,gas
352,,,,,,,,collide
353,,,,,,,,theory
354,,,,,,,,kinetic
355,,,,,,,,following
356,,,,,,,,waternexplanationnthe
